ln_uwe,ln_ahe,age,gender,race,years_ed
5.238894,1.550014,46,2,1,12
6.340902,2.556712,45,1,1,8
6.182611,2.493732,38,1,1,13
5.75025,2.061371,44,2,1,12
5.313016,2.317284,32,2,1,16
2.956511,1.570217,28,2,1,12
5.710172,2.021293,50,1,1,9
6.288716,2.482054,42,2,1,16
5.211306,2.438717,27,2,1,13
5.7291,2.040221,36,2,1,12
6.001034,2.239834,32,2,1,14
5.354407,1.665527,41,1,1,12
5.249527,1.090644,40,2,1,12
4.731803,1.959214,29,2,1,12
6.885018,3.666142,40,1,1,16
5.37836,1.689481,43,2,1,14
4.085135,0.4475495,25,2,1,11
5.115996,1.714798,28,2,1,12
5.560682,1.871802,39,2,1,13
4.685213,1.689481,30,1,1,13
4.868126,1.50083,39,2,1,10
6.143812,2.136479,35,1,1,11
4.60517,1.609438,30,2,1,12
5.759872,2.070992,43,2,1,18
6.096344,2.335144,47,1,1,12
5.952244,2.263364,31,1,1,12
5.90095,2.212071,36,2,1,12
5.255758,1.997661,46,2,1,14
4.480007,0.7911276,39,2,1,16
5.184988,1.496109,38,1,1,12
5.90095,2.212071,35,1,1,16
6.348139,4.045554,37,2,1,16
5.981414,2.292535,29,1,1,9
6.175387,2.368725,40,1,1,16
6.252348,2.445686,39,2,1,16
4.565949,0.6539265,30,1,1,14
4.50986,0.8209805,27,1,1,12
5.297644,1.608765,42,2,1,12
4.471639,1.293585,31,2,1,12
7.016954,3.328075,38,1,1,16
6.099025,2.410145,36,1,1,13
6.354037,2.665158,41,2,1,18
6.694181,3.005302,31,1,1,18
6.023553,2.21689,30,2,1,12
5.952244,2.263364,42,2,1,13
6.470889,2.782009,28,2,1,14
6.595886,2.501541,30,1,1,13
5.623809,1.93493,28,2,1,16
5.874282,1.962259,29,1,1,15
6.288716,2.887519,46,2,1,16
6.379275,2.690395,44,1,1,18
6.868535,3.179655,49,2,1,18
5.014265,1.458917,33,2,1,13
5.803243,2.114364,28,1,1,12
6.175387,2.486508,26,1,1,12
4.565949,3.179655,43,2,1,12
5.789725,2.100845,29,2,1,12
6.620073,2.931194,45,1,1,13
6.092006,2.45442,30,2,1,12
6.750201,2.838178,46,2,1,20
6.763174,2.851151,38,2,1,18
6.422247,2.414914,37,1,1,12
6.812445,3.123566,35,1,1,12
6.175387,2.437718,46,2,1,18
6.052089,2.36321,43,2,1,12
6.511859,2.82298,38,1,1,12
5.298317,2.302585,39,2,1,12
6.069582,1.752094,39,1,1,12
6.287501,2.703982,39,2,1,12
5.521461,1.883875,32,2,1,15
6.342392,2.787044,49,2,1,13
4.458809,1.057612,26,2,1,13
3.806663,2.197225,28,2,1,12
6.390499,2.701619,34,2,1,12
6.155185,2.466305,46,2,1,15
6.357709,2.891973,30,2,1,15
6.763174,3.074295,37,1,1,16
7.680945,4.279748,27,1,1,16
6.806659,2.956511,32,1,1,12
5.403717,1.93798,30,2,1,16
5.521461,1.427116,38,2,1,13
7.039201,3.512841,35,2,1,18
5.472671,2.071473,46,2,1,12
5.944944,2.183744,33,2,1,13
6.54003,2.851151,28,1,1,16
6.815382,3.126503,34,1,1,16
3.933076,0.1264139,36,1,1,14
4.269698,0.6321113,48,1,1,20
5.926926,2.238047,46,2,1,13
5.886104,2.197225,33,1,1,13
0.6539265,-3.034953,31,2,1,12
5.542514,1.853635,44,2,1,12
3.912023,1.832582,40,2,1,10
6.262226,2.624639,33,1,1,14
6.645391,2.838728,46,1,1,13
5.846883,2.158004,47,1,1,13
5.664562,1.975682,50,2,1,12
5.441418,1.752539,41,2,4,12
5.556147,1.238658,26,1,1,13
6.357709,2.668829,50,1,1,12
6.806659,3.02247,41,1,1,16
5.952244,2.341326,41,2,1,14
6.620073,2.835884,48,1,1,12
6.717711,2.623367,44,1,1,16
6.047554,2.409968,42,2,1,13
7.050856,3.361977,38,1,1,18
6.620073,2.931194,30,2,1,12
6.214608,2.525729,31,1,1,13
5.846883,2.158004,26,2,1,13
6.567375,2.878496,36,1,1,16
6.422247,2.733368,32,1,1,12
6.422247,2.733368,46,1,1,12
6.747791,3.058911,26,1,1,14
6.645391,2.838728,37,1,1,14
4.565949,2.263364,33,2,1,12
5.83571,2.146831,39,2,1,13
6.56743,2.87855,43,2,1,16
6.511859,2.82298,50,1,1,12
5.958889,2.270009,32,1,1,14
6.291569,2.60269,34,1,1,12
6.013937,2.325058,28,2,1,12
6.175387,2.368725,36,1,1,16
6.252348,2.563469,27,2,1,12
6.694181,3.005302,36,1,1,12
6.363028,2.725442,45,2,1,16
5.051457,1.65026,46,2,1,12
6.357709,2.551046,41,1,1,18
5.789725,2.388528,41,2,1,14
6.437752,2.189256,31,1,1,12
6.384026,2.289682,27,2,1,12
6.083272,2.345603,25,1,1,12
5.991465,1.89712,45,1,1,16
6.511859,2.82298,45,2,1,13
5.634789,1.94591,46,2,1,16
5.877736,2.322388,50,2,1,10
6.079288,1.830792,29,1,1,12
6.032287,2.343407,43,1,1,18
6.740701,3.051822,31,1,1,18
7.130899,3.036554,36,2,1,13
6.092006,2.403126,35,2,1,12
5.311689,1.62281,50,2,1,12
6.39693,2.995732,46,2,1,12
6.493288,2.804409,42,1,1,18
6.175387,2.081043,46,1,1,20
5.247024,2.474435,43,2,1,8
5.90095,2.435215,35,2,1,14
6.453019,2.76414,49,2,1,13
6.252348,2.563469,27,1,1,12
7.456321,3.448988,35,1,1,6
5.307887,1.619007,30,2,1,11.5
6.620073,2.931194,38,1,1,12
5.952244,2.263364,29,2,1,16
6.56743,2.87855,45,1,1,16
5.441418,1.752539,35,1,1,8
6.511859,2.82298,44,2,1,16
6.645391,2.956511,44,1,1,13
4.094345,0.4054651,36,2,1,16
4.767689,1.771957,29,2,1,10
5.947881,2.035858,33,1,1,12
0.6931472,0,26,2,1,10
2.140066,1.446919,46,1,1,9
6.907755,3.912023,44,2,1,6
7.205007,3.398344,44,1,1,18
5.846883,2.158004,39,1,1,13
5.441418,1.752539,31,1,1,11
6.482872,2.67621,31,1,1,16
6.252348,2.697,33,1,1,16
5.115996,2.120264,44,2,1,15
5.441418,1.752539,42,2,1,12
4.748271,1.059392,28,1,1,12
6.060201,2.422615,48,2,1,13
6.092006,1.948871,29,2,1,14
6.214608,2.525729,49,1,1,15
6.740701,3.051822,45,1,1,16
6.437752,2.800165,38,1,1,12
6.806659,3.093087,38,1,1,13
5.77192,2.083041,26,1,1,13
5.991465,1.89712,48,1,1,12
5.871359,2.693305,45,2,1,13
6.533341,2.844462,44,2,1,13
6.868535,2.956511,37,1,1,18
6.390918,3.058713,40,2,1,16
6.287501,2.45886,37,1,1,15
6.763174,3.074295,48,1,1,12
6.175387,2.304186,39,1,1,12
5.789725,2.100845,28,2,1,14
5.759872,2.122286,46,2,1,16
6.482872,2.793993,38,2,1,12
5.664562,1.975682,36,2,1,12
5.952244,2.263364,33,1,1,12
7.07252,3.160497,41,1,1,20
5.435176,1.523154,26,1,1,16
5.298317,1.609438,48,1,1,8
6.868535,3.061872,34,1,1,18
6.370888,2.682009,49,2,1,16
4.60517,0.9162908,41,1,1,12
4.66126,1.665527,40,2,1,12
6.694181,3.005302,42,1,1,15
6.097253,2.408373,31,1,1,12
6.323807,2.634928,26,1,1,16
5.63066,1.941781,28,2,1,12
6.511859,2.82298,31,1,1,13
6.39693,2.70805,31,2,1,16
4.135167,1.832582,33,2,1,16
6.040255,2.128232,29,1,1,10
6.357709,2.668829,45,1,1,16
6.511859,2.82298,47,2,1,14
6.047554,2.358675,33,1,1,14
5.846883,2.158004,38,1,1,14
4.60517,2.120264,40,2,1,14
5.846883,2.158004,30,1,1,12
5.664562,1.793361,28,1,1,12
5.703783,2.014903,26,1,1,13
6.175387,2.368725,28,2,1,14
6.104965,2.416085,39,1,1,12
6.828525,3.139645,41,1,1,13
4.689679,1.554184,36,2,1,12
6.51999,2.607967,29,1,1,13
5.995303,2.306424,33,1,1,12
6.175387,2.168054,43,2,1,12
6.047554,2.464035,28,1,1,12
5.131263,1.442384,41,1,1,12
6.092006,2.354336,29,1,1,11
6.664133,2.975254,36,1,1,16
6.634356,2.827693,41,1,1,16
5.911367,3.138778,39,2,1,18
5.952244,2.263364,30,2,1,13
6.868535,3.061872,37,2,1,13
6.746487,3.057608,45,1,1,12
5.7291,2.040221,49,1,1,14
4.828314,2.525729,45,2,1,13
6.035435,2.346556,29,2,1,8
4.655059,1.099711,50,2,1,16
6.151095,2.462215,32,2,1,12
5.48224,2.081043,28,2,1,12
6.214608,2.525729,31,2,3,14
7.012791,3.061547,37,1,1,12
5.931823,2.0198,29,1,1,8
5.591059,1.902179,42,2,1,8
6.270698,2.581818,41,1,1,22
6.270698,2.581818,36,2,1,22
5.665453,1.976574,49,1,1,8
6.422247,2.733368,43,1,1,12
4.961845,1.870803,36,2,1,12
6.511859,2.417515,30,1,1,16
5.993721,2.304842,45,2,1,16
4.074542,0.6733446,25,2,1,16
5.952244,2.263364,46,2,1,13
4.165372,2.085931,38,2,1,12
5.518071,2.052335,36,2,1,13
4.545339,1.837288,37,2,1,12
5.775865,1.393838,40,1,1,16
4.645992,0.9571127,48,2,1,14
5.789725,2.100845,27,1,1,12
6.134565,2.445686,34,1,1,12
4.545747,2.466305,30,2,1,13
6.422247,2.24786,44,1,1,12
7.313221,3.218876,31,1,1,16
5.570251,3.490809,31,2,1,16
7.42242,3.73354,39,1,1,16
5.580884,1.892005,28,1,1,12
5.216079,1.883875,32,2,1,12
6.173786,2.484907,27,2,1,12
5.783825,2.094946,49,1,1,6
5.664562,1.975682,33,1,1,10
6.092006,2.403126,27,1,1,12
6.092006,2.403126,29,1,1,12
6.316887,2.309554,45,2,1,12
5.32079,1.631911,31,1,1,12
3.986131,0.2972515,30,2,1,16
5.7291,2.040221,25,1,1,16
6.288716,2.599837,29,2,1,14
6.422247,2.733368,32,1,1,14
3.226256,1.839962,31,2,1,16
6.868535,2.77419,50,1,1,12
5.789725,2.234377,39,2,1,18
6.047554,2.358675,37,1,1,12
5.171904,1.16457,29,2,1,16
5.564152,1.875273,46,2,1,18
6.390499,2.383166,28,1,1,12
6.357709,2.668829,42,1,1,12
6.357709,2.350376,34,2,1,16
6.645391,2.551046,40,1,1,18
5.952244,3.179655,35,2,1,16
6.594098,2.856428,35,1,1,12
6.357709,2.668829,44,1,1,13
6.092006,2.403126,37,1,1,16
6.252348,2.563469,40,1,1,18
6.981863,3.292984,33,1,1,16
5.441418,1.752539,32,2,1,16
5.598422,1.909543,28,1,1,16
6.060457,2.253795,26,1,1,18
6.214608,2.525729,33,2,1,12
6.763174,3.074295,44,2,1,12
6.175387,2.263364,39,2,1,18
7.641715,3.393219,47,1,1,20
5.298317,2.65926,43,2,1,15
6.453019,2.445686,39,1,1,13
7.240461,3.433799,50,1,1,16
6.846943,3.158064,36,1,1,18
6.251645,2.785908,35,2,1,12
5.298317,1.609438,25,1,2,12
7.162075,3.524488,47,2,1,12
6.981863,3.06984,29,1,1,16
6.888337,3.199458,40,1,1,13
5.777891,1.865867,36,2,1,13
6.647838,3.182102,43,2,1,14
6.868535,3.061872,42,1,1,16
5.559201,2.003853,50,2,1,12
5.035953,1.347074,40,2,1,12
5.848364,2.210778,32,2,1,12
6.252348,2.158004,33,1,1,12
6.558116,2.751453,42,2,1,18
5.259097,1.570217,38,2,1,15
6.121986,2.027642,41,1,1,12
4.422849,0.7339692,47,2,1,11
5.873682,2.184802,32,1,1,12
7.404192,3.715313,31,2,1,15
5.789725,2.100845,37,2,1,12
6.323807,2.411784,49,1,1,18
5.7291,2.040221,42,1,2,16
6.728766,3.039887,40,2,1,18
4.60517,3.506558,39,2,1,15
5.348297,2.170244,44,2,1,12
6.090994,2.178971,47,2,1,16
5.259097,1.347074,37,1,1,13
5.991465,2.302585,28,1,1,12
5.664562,1.975682,25,2,1,15
6.593255,2.904376,49,2,1,16
5.227606,1.538727,45,2,2,13
5.339139,1.65026,27,1,1,6
5.521461,1.966113,28,1,1,12
7.65497,3.96609,47,2,1,13
6.662633,2.85597,35,1,1,12
6.609764,2.920884,44,1,1,18
6.422247,2.784661,45,2,1,16
7.130899,3.442019,45,1,1,16
6.366999,2.678119,32,1,1,12
4.710531,1.155183,40,2,1,12
5.035953,2.396896,27,2,1,12
5.470168,1.29578,37,1,1,9
6.252348,2.445686,33,2,1,12
6.047554,2.358675,47,2,1,11
4.540632,1.544899,36,2,1,14
5.167639,2.277267,32,2,1,16
6.848332,3.041669,26,1,1,12
6.323807,2.634928,44,2,2,12
6.511859,2.640659,37,1,1,12
6.827713,2.915689,48,1,1,13
4.60517,0.9162908,43,2,1,12
6.868535,3.039893,42,1,1,16
6.032809,2.24862,39,2,1,12
6.907755,3.218876,41,1,1,13
6.124996,2.436116,32,2,1,12
6.368759,2.679879,29,1,1,12
6.999563,3.310683,45,1,1,13
6.645391,2.956511,35,2,1,16
6.825517,3.187931,37,1,1,16
6.175387,2.263364,29,1,1,12
5.515611,1.826731,46,2,1,12
4.843581,1.154702,25,1,1,12
6.774224,3.085344,33,2,1,13
5.48224,1.793361,50,2,1,12
6.357709,2.551046,35,1,1,18
7.510388,3.703726,35,1,1,16
5.952244,2.145581,33,2,1,15
6.511859,2.82298,47,1,1,13
6.324049,2.412026,44,1,1,12
6.670084,2.863421,30,2,1,16
4.744932,1.7492,45,2,1,14
7.561682,3.755019,36,1,1,13
5.47367,2.072473,27,1,1,13
6.323807,2.562607,25,2,1,12
5.881553,4.089794,28,2,1,18
6.357709,2.668829,36,1,1,20
5.875363,2.186483,46,2,1,15
6.357709,2.668829,25,2,1,12
6.694181,2.519794,38,1,3,16
5.010635,1.791759,26,2,1,14
6.79882,3.109941,47,1,1,12
5.329089,1.691503,30,2,1,13
7.561672,3.467327,36,1,1,18
6.109248,2.420368,25,1,1,12
5.873682,2.067019,27,2,1,12
6.073044,2.384165,46,1,1,6
6.645391,2.956511,31,1,1,18
6.001034,2.312155,43,2,1,10
6.642888,2.954008,32,1,1,12
6.763174,3.074295,30,1,1,14
6.134565,2.445686,35,1,2,11
5.952244,2.263364,31,1,1,15
6.526044,2.788375,35,1,1,13
5.80415,2.11527,42,2,1,12
5.90095,2.212071,34,1,1,12
4.630488,1.634756,30,2,1,12
6.081077,2.392197,47,1,1,6
5.595569,1.906689,44,2,1,6
6.365431,2.676552,38,1,1,4
4.382027,1.609438,42,2,1,15
6.175387,2.081043,26,1,1,16
6.670084,2.981204,29,2,1,15
5.908083,2.219203,26,1,1,12
6.357642,2.802294,47,2,1,13
5.943656,2.254776,44,2,1,12
5.480639,1.473306,29,1,1,10
6.047554,2.358675,31,1,1,20
5.722132,2.166784,43,1,1,13
4.748271,1.752539,28,2,1,12
5.390125,1.478102,36,2,1,13
4.135167,1.427116,33,2,1,14
7.233178,3.321155,40,1,1,18
5.407516,3.328075,44,2,1,16
4.902421,2.129833,39,2,1,13
6.763174,3.074295,37,1,1,12
6.134565,2.445686,46,2,1,12
6.175387,2.224144,37,1,1,13
5.480639,1.791759,37,1,1,12
6.963845,3.051822,44,2,1,18
6.594098,2.905218,38,1,1,16
7.456321,3.544298,42,1,1,16
6.482872,2.388528,27,1,1,12
6.740701,3.051822,42,1,1,14
6.175387,2.486508,40,1,1,4
6.694181,3.005302,30,1,1,16
5.891644,2.202765,50,1,1,8
6.580853,2.709651,36,1,1,12
6.453019,2.815433,36,2,1,15
5.7291,1.922438,30,1,1,13
6.511859,2.82298,35,2,1,14
5.874282,2.185403,37,1,1,8
2.995732,-0.4054651,36,1,1,12
5.153736,1.059392,30,1,5,11
5.7291,2.040221,32,1,1,13
6.827713,2.915689,32,1,1,14
4.997732,2.289682,33,2,1,12
6.123636,2.434757,34,2,1,16
7.050856,3.495508,40,2,1,14
6.047554,2.358675,42,2,1,13
5.789725,2.234377,34,2,1,13
6.175387,2.304186,47,2,1,12
5.4395,1.828582,45,2,1,12
6.543112,2.854233,33,2,1,16
4.682131,2.197225,25,1,1,12
5.568345,2.041984,40,2,1,15
6.092006,2.285343,27,2,1,13
6.868535,3.179655,37,1,1,16
5.662961,1.974081,37,2,1,11
6.252348,2.563469,46,1,1,10
6.868535,2.956511,34,1,1,20
5.441418,2.040221,39,1,1,18
6.461468,2.772589,41,1,1,12
6.816146,3.009483,30,1,1,12
5.991465,2.590267,26,2,1,15
6.806659,3.11778,37,1,1,14
4.988163,2.215574,44,2,1,16
6.806659,3.11778,43,2,1,16
6.54003,2.851151,43,1,1,18
5.866302,2.177422,37,1,1,12
5.585999,1.89712,45,1,1,12
6.54003,2.851151,44,2,1,12
6.543112,2.854233,35,1,1,13
6.214608,2.525729,49,2,1,15
5.521461,2.343407,38,2,1,12
6.764655,2.852631,39,1,1,16
6.763174,3.074295,40,1,1,12
7.233178,3.321155,42,1,1,16
6.594098,2.905218,38,2,1,16
7.050856,3.138833,30,1,1,16
6.511859,2.705197,32,1,1,12
6.594098,2.682075,34,2,1,16
5.521461,1.832582,29,1,4,12
6.511859,2.705197,35,1,1,12
6.001034,2.312155,31,1,1,12
4.135167,0.4462871,32,2,1,16
6.56743,2.473085,43,1,1,18
6.911268,2.999245,37,1,1,12
7.050856,3.361977,38,2,1,13
5.595569,1.906689,40,2,1,12
6.706016,2.401951,43,1,1,12
5.598422,1.909543,49,1,1,12
5.339139,1.937942,29,2,2,13
6.571283,2.833613,49,1,1,14
6.963845,3.274965,43,1,1,16
6.214608,2.65926,28,1,1,12
7.561672,3.649649,39,1,1,20
5.952244,2.396896,39,1,1,13
6.763174,3.207826,44,2,1,18
6.047554,2.358675,26,2,1,12
5.521461,1.832582,34,1,1,12
5.789725,2.100845,30,2,2,12
6.763174,3.074295,36,2,1,14
5.857933,2.169054,25,1,2,9
6.175387,2.168054,40,2,1,12
5.839915,2.284567,44,2,1,13
6.907755,3.218876,35,2,1,18
6.047554,2.358675,35,1,1,13
6.175387,2.486508,29,2,1,13
7.561672,3.690471,41,1,1,12
6.717711,2.846511,33,1,1,12
6.54003,2.668829,35,2,1,16
4.094345,1.791759,27,2,1,4
3.872802,1.164752,47,2,1,12
7.42242,3.415087,47,2,1,22
6.54003,2.851151,25,1,1,22
3.506558,2.407946,50,2,1,13
5.360193,2.141317,35,2,1,13
6.740701,3.339504,34,2,1,16
6.412434,2.801516,26,2,1,16
5.960374,2.271494,49,1,1,8
7.099646,3.187623,33,1,1,16
6.453019,2.646357,29,1,1,16
6.642888,2.954008,42,1,1,15
6.511859,2.82298,37,1,1,18
5.270146,2.051271,34,2,1,18
6.907755,3.057608,33,1,1,13
5.616771,1.927892,42,1,1,16
5.43445,1.74557,31,2,1,16
4.487387,0.9320391,34,1,1,12
6.963845,3.051822,41,1,1,16
6.750126,3.061247,38,1,1,12
6.138723,2.449844,47,1,1,12
6.694181,2.82298,27,1,1,12
3.079114,0.3710637,45,2,1,22
5.789725,2.005535,38,2,1,16
6.684612,2.995732,50,2,1,12
5.991465,3.218876,33,2,1,13
6.763174,3.074295,42,1,1,18
6.577514,2.888634,34,1,1,16
6.252348,2.563469,26,2,1,15
4.382027,1.386294,27,2,1,12
4.50986,1.514128,34,2,1,12
6.175387,2.263364,49,1,1,16
5.298317,1.609438,32,2,1,12
6.763174,3.074295,40,2,1,12
7.561672,3.649649,45,1,1,22
6.288716,2.599837,31,1,1,12
7.233178,3.225844,39,1,1,18
6.868535,2.77419,30,1,1,16
5.952244,2.123602,48,2,1,12
6.645391,2.956511,43,1,1,20
6.001034,2.445686,25,2,1,13
6.820744,4.741302,37,2,1,13
6.609764,3.054416,37,2,1,18
6.109248,2.420368,29,1,1,12
4.787492,1.609438,26,2,1,10
6.645391,2.956511,49,1,1,13
6.047554,2.358675,44,2,5,12
6.299444,2.610564,44,2,1,15
5.90095,2.212071,26,1,1,13
7.054184,3.365304,42,1,1,15
5.613268,2.281064,30,2,1,13
4.727388,1.731656,36,2,1,12
5.747677,2.11009,28,2,1,12
6.482872,2.793993,30,2,1,14
5.896154,2.207275,32,1,1,12
5.664562,1.975682,33,1,2,16
6.134565,2.445686,35,2,1,16
6.357709,2.668829,31,2,1,16
5.115996,2.120264,31,2,1,16
6.134565,2.445686,34,1,1,12
6.56743,2.87855,43,1,1,12
7.331828,3.525166,44,1,1,18
5.809143,1.714798,43,2,2,13
5.911422,1.999399,31,1,1,13
6.511859,2.599837,27,2,1,16
6.763174,2.851151,25,1,1,16
5.840157,2.151278,26,2,1,13
6.340902,2.556712,27,1,1,16
6.092006,2.403126,29,1,1,12
7.42242,3.510397,43,1,1,18
5.768321,2.079442,48,2,1,14
5.595569,1.906689,37,2,1,13
6.700116,2.748872,35,1,1,13
6.696446,3.141098,41,1,1,13
7.176019,3.48714,37,1,4,18
7.743995,3.831972,46,1,1,18
5.809143,2.120264,37,2,1,22
7.561672,3.649649,43,1,1,20
7.561672,3.467327,49,1,1,16
6.694181,2.599837,45,2,1,18
6.453019,2.715349,27,1,1,16
6.453019,2.897671,41,2,1,16
6.252348,2.563469,30,1,1,12
6.199104,2.510224,28,2,1,15
5.664562,1.416067,46,1,1,16
5.991465,2.302585,27,2,1,16
5.846883,2.158004,32,2,1,12
6.288716,2.376693,30,1,1,12
6.214608,2.407946,28,2,1,14
6.620073,2.931194,44,1,1,12
6.694181,3.005302,40,1,1,18
6.511859,3.333806,48,2,1,16
5.768321,2.079442,43,1,1,6
6.806659,2.894636,26,1,1,16
6.511859,2.82298,27,2,1,16
6.763174,2.956511,45,1,1,16
6.580853,2.891973,28,1,1,18
6.214608,2.525729,43,2,1,12
5.952244,2.263364,25,1,1,12
6.323807,2.517145,38,1,1,12
4.828314,1.427116,36,1,1,13
5.754838,2.065958,25,2,1,12
6.482872,2.793993,46,2,1,18
6.50229,2.813411,32,1,1,13
6.827713,3.138833,42,1,1,14
6.511859,2.82298,38,1,1,16
6.381662,2.692783,44,1,1,13
6.175387,2.486508,32,1,1,13
6.390499,2.701619,42,2,1,15
6.262236,2.573357,39,2,1,13
6.512443,2.823563,30,1,1,12
5.593853,2.703481,40,2,1,16
6.214608,2.525729,35,1,1,13
5.48224,1.793361,33,1,1,16
5.846883,2.158004,47,2,1,14
5.207803,2.02975,47,1,1,12
6.561466,2.649443,26,2,1,16
5.703783,2.014903,32,2,1,12
5.846883,2.158004,32,1,1,16
5.991465,2.302585,50,1,1,12
6.645391,2.956511,44,2,1,16
6.453019,2.76414,32,1,1,14
6.109248,3.336659,37,2,1,16
6.645391,2.838728,27,1,1,15
5.873682,2.318333,28,1,1,18
6.357709,2.668829,39,1,1,16
6.645391,2.956511,39,2,1,18
6.888337,3.332989,33,1,1,18
6.045532,2.356652,25,1,1,12
5.521461,1.832582,33,2,1,12
6.917325,3.110662,36,2,1,20
7.130899,3.324236,35,2,1,16
6.453019,2.76414,31,1,1,16
6.280566,2.368543,26,1,1,16
6.303323,2.614444,37,2,1,12
6.175387,2.486508,26,1,1,16
6.885392,2.791047,48,1,1,18
7.067385,3.155362,44,1,1,18
6.717711,3.162364,43,2,1,18
6.740701,2.8695,34,1,1,12
6.694181,3.005302,30,2,1,15
5.115996,2.120264,46,2,1,12
5.952244,2.263364,39,2,1,12
6.645391,2.956511,40,2,1,18
3.465736,1.386294,42,1,1,13
6.963845,3.051822,43,1,1,12
7.690515,3.883852,33,2,1,16
4.342806,1.570217,45,2,1,16
6.175387,2.368725,44,1,1,22
3.989985,2.044074,28,2,1,12
5.846883,2.158004,25,2,2,12
5.339139,1.65026,28,1,1,13
6.806659,3.11778,48,1,1,18
6.620073,2.748872,26,1,1,16
6.54003,2.851151,26,2,1,16
5.952244,2.486508,43,2,1,15
5.05158,1.960538,26,2,1,12
5.919144,2.230264,35,1,1,12
5.952244,2.263364,27,2,1,12
6.155185,2.599837,25,2,1,16
6.35437,2.442347,28,1,1,13
6.645391,2.733368,36,1,1,16
7.325959,3.519297,45,1,1,16
6.134565,2.222542,25,1,1,12
4.04064,1.555734,28,2,1,16
5.010635,1.455287,26,2,1,12
6.364354,2.675474,34,1,1,12
5.952244,2.263364,27,1,1,12
